Item,Tamanho,Kg/m,Peso
25-002,"6,0 m","0,250","1,500 Kg"
25-016,"6,0 m","0,341","2,046 Kg"
25-022,"6,0 m","0,403","2,418 Kg"
25-504,"6,0 m","0,409","2,454 Kg"
25-540,"6,0 m","0,515","3,090 Kg"
25-542,"6,0 m","0,626","3,756 Kg"
25-544,"6,0 m","0,597","3,582 Kg"
25-548,"6,0 m","0,221","1,326 Kg"
30-023,"6,0 m","0,560","3,360 Kg"
30-025,"6,0 m","0,741","4,446 Kg"
30-030,"6,0 m","1,091","6,546 Kg"
30-034,"6,0 m","0,261","1,566 Kg"
30-077,"6,0 m","1,050","6,300 Kg"
AL-005,"6,0 m","0,342","2,052 Kg"
AL-006,"6,0 m","0,276","1,656 Kg"
AL-010,"6,0 m","0,170","1,020 Kg"
AL-013,"6,0 m","0,084","0,504 Kg"
AL-014,"6,0 m","0,174","1,044 Kg"
AL-015,"6,0 m","0,113","0,678 Kg"
AL-019,"6,0 m","0,241","1,446 Kg"
AL-021,"6,0 m","0,200","1,200 Kg"
AL-025,"6,0 m","0,410","2,460 Kg"
AL-026,"6,0 m","0,203","1,218 Kg"
AL-027,"6,0 m","0,161","0,966 Kg"
AL-032,"6,0 m","0,231","1,386 Kg"
AL-040,"6,0 m","0,496","2,976 Kg"
AL-043,"6,0 m","0,071","0,426 Kg"
AL-047,"6,0 m","0,171","1,026 Kg"
AL-050,"6,0 m","0,288","1,728 Kg"
AL-052,"6,0 m","0,631","3,786 Kg"
AL-055,"6,0 m","0,409","2,454 Kg"
AL-060,"6,0 m","0,538","3,228 Kg"
AL-061,"6,0 m","0,212","1,272 Kg"
AL-063,"6,0 m","0,137","0,822 Kg"
AL-064,"6,0 m","0,135","0,810 Kg"
AL-066,"6,0 m","0,504","3,024 Kg"
AL-067,"6,0 m","0,137","0,822 Kg"
AL-075,"6,0 m","0,280","1,680 Kg"
AL-225,"6,0 m","0,122","0,732 Kg"
AL-266,"6,0 m","1,042","6,252 Kg"
AL-540,"6,0 m","0,116","0,696 Kg"
BG-001,"6,0 m","0,094","0,564 Kg"
BG-013,"6,0 m","0,111","0,666 Kg"
BG-057,"6,0 m","0,167","1,002 Kg"
BQ-001,"6,0 m","0,618","3,708 Kg"
BQ-002,"6,0 m","0,211","1,266 Kg"
BQ-003,"6,0 m","0,248","1,488 Kg"
BX-001,"6,0 m","0,156","0,936 Kg"
BX-002,"6,0 m","0,137","0,822 Kg"
BX-003,"6,0 m","0,158","0,948 Kg"
BX-004,"6,0 m","0,211","1,266 Kg"
BX-005,"6,0 m","0,441","2,646 Kg"
CG-012,"6,0 m","0,443","2,658 Kg"
CG-013,"6,0 m","1,040","6,240 Kg"
CG-014,"6,0 m","0,667","4,002 Kg"
CG-021,"6,0 m","0,299","1,794 Kg"
CG-074,"6,0 m","0,241","1,446 Kg"
CG-075,"6,0 m","0,472","2,832 Kg"
CG-077,"6,0 m","0,708","4,248 Kg"
CG-078,"6,0 m","0,402","2,412 Kg"
CG-079,"6,0 m","0,309","1,854 Kg"
CG-083,"6,0 m","1,157","6,942 Kg"
CG-300,"6,0 m","1,277","7,662 Kg"
CG-833,"6,0 m","0,933","5,598 Kg"
CG-834,"6,0 m","1,490","8,940 Kg"
CL-006 3m,"3,0 m","0,980","2,940 Kg"
CL-011 3m,"3,0 m","0,307","0,921 Kg"
CM-051,"6,0 m","0,244","1,464 Kg"
CM-063,"6,0 m","0,198","1,188 Kg"
CT-001,"6,0 m","0,102","0,612 Kg"
CT-005,"6,0 m","0,099","0,594 Kg"
CT-007,"6,0 m","0,120","0,720 Kg"
CT-016,"6,0 m","0,160","0,960 Kg"
CT-029,"6,0 m","0,627","3,762 Kg"
CT-052,"6,0 m","0,428","2,568 Kg"
CT-052 DES,"6,0 m","0,299","1,794 Kg"
CX-1226,"6,0 m","0,441","2,646 Kg"
CX-125,"6,0 m","0,735","4,410 Kg"
CX-248,"6,0 m","1,634","9,804 Kg"
DV-023,"6,0 m","0,105","0,630 Kg"
E-578,"6,0 m","0,704","4,224 Kg"
EFC-012,"6,0 m","1,012","6,072 Kg"
EFC-013,"6,0 m","0,242","1,452 Kg"
EFC-014,"6,0 m","0,327","1,962 Kg"
EPC-011,"6,0 m","0,273","1,638 Kg"
FCX-0201,"6,0 m","0,888","5,328 Kg"
FCX-0207,"6,0 m","0,248","1,488 Kg"
FCX-0208,"6,0 m","1,201","7,206 Kg"
FCX-0209,"6,0 m","0,305","1,830 Kg"
FCX-0211,"6,0 m","1,312","7,872 Kg"
FCX-0212,"6,0 m","0,490","2,940 Kg"
FCX-0213,"6,0 m","0,729","4,374 Kg"
FCX-0215,"6,0 m","1,074","6,444 Kg"
FCX-0216,"6,0 m","0,094","0,564 Kg"
FCX-0217,"6,0 m","0,238","1,428 Kg"
FCX-0218,"6,0 m","0,962","5,772 Kg"
FCX-0219,"6,0 m","1,212","7,272 Kg"
FCX-0228,"6,0 m","0,312","1,872 Kg"
LB-005,"6,0 m","0,446","2,676 Kg"
LB-005 5m,"5,0 m","0,446","2,230 Kg"
LB-034,"5,0 m","0,572","2,860 Kg"
LB-035,"6,0 m","0,572","3,432 Kg"
LB-061,"6,0 m","0,540","3,240 Kg"
LB-075,"6,0 m","0,828","4,968 Kg"
LG-002,"6,0 m","0,561","3,366 Kg"
LG-006,"6,0 m","0,646","3,876 Kg"
LG-007,"6,0 m","1,187","7,122 Kg"
LG-007 P,"6,0 m","1,187","7,122 Kg"
LG-017,"6,0 m","0,978","5,868 Kg"
LG-026,"6,0 m","0,155","0,930 Kg"
LG-028,"6,0 m","0,413","2,478 Kg"
LG-042,"6,0 m","1,017","6,102 Kg"
LG-044,"6,0 m","1,180","7,080 Kg"
LG-048,"6,0 m","0,905","5,430 Kg"
LG-049,"6,0 m","0,868","5,208 Kg"
LG-050,"6,0 m","0,782","4,692 Kg"
LG-051,"6,0 m","0,866","5,196 Kg"
LG-056,"6,0 m","0,599","3,594 Kg"
LG-057,"6,0 m","0,166","0,996 Kg"
LG-059,"6,0 m","0,161","0,966 Kg"
LG-062,"6,0 m","1,622","9,732 Kg"
LG-068,"6,0 m","0,369","2,214 Kg"
LG-070,"6,0 m","2,049","12,294 Kg"
LG-071,"6,0 m","0,362","2,172 Kg"
LG-072,"6,0 m","1,129","6,774 Kg"
LG-074,"6,0 m","0,763","4,578 Kg"
LG-076,"6,0 m","0,679","4,074 Kg"
LG-077,"6,0 m","0,300","1,800 Kg"
LG-083,"6,0 m","0,409","2,454 Kg"
LG-085,"6,0 m","0,452","2,712 Kg"
LG-091,"6,0 m","0,135","0,810 Kg"
LG-111,"6,0 m","0,077","0,462 Kg"
LG-116,"6,0 m","1,535","9,210 Kg"
LG-137,"6,0 m","1,584","9,504 Kg"
LG-140,"6,0 m","1,732","10,392 Kg"
LG-158,"6,0 m","0,871","5,226 Kg"
LG-159,"6,0 m","1,101","6,606 Kg"
LG-160,"6,0 m","1,993","11,958 Kg"
LG-164,"6,0 m","0,148","0,888 Kg"
LG-177,"6,0 m","1,548","9,290 Kg"
LG-178,"6,0 m","1,548","9,290 Kg"
ME-013,"6,0 m","0,268","1,608 Kg"
ME-024,"6,0 m","0,332","1,992 Kg"
MI-001,"6,0 m","0,717","4,302 Kg"
MI-004,"6,0 m","0,544","3,264 Kg"
MI-005,"6,0 m","0,972","5,832 Kg"
MI-006,"6,0 m","0,648","3,888 Kg"
MI-007,"6,0 m","0,738","4,428 Kg"
MI-008,"6,0 m","0,700","4,200 Kg"
MI-009,"6,0 m","0,809","4,854 Kg"
MI-020,"6,0 m","0,834","5,004 Kg"
MN-055,"6,0 m","0,352","2,112 Kg"
MP-347,"6,0 m","0,164","0,984 Kg"
MP-349,"6,0 m","0,298","1,788 Kg"
PAT-202,"6,0 m","1,603","9,618 Kg"
PAT-225,"6,0 m","0,591","3,546 Kg"
PAT-227,"6,0 m","0,634","3,804 Kg"
PAT-228,"6,0 m","0,561","3,366 Kg"
PAT-231,"6,0 m","0,987","5,922 Kg"
PAT-243,"6,0 m","0,998","5,988 Kg"
PAT-244,"6,0 m","0,284","1,704 Kg"
PAT-249,"6,0 m","0,569","3,414 Kg"
PAT-261,"6,0 m","0,493","2,958 Kg"
PC-002,"6,0 m","0,399","2,394 Kg"
PC-003,"6,0 m","0,791","4,746 Kg"
PC-004,"6,0 m","0,502","3,012 Kg"
PC-006,"6,0 m","0,352","2,112 Kg"
PC-010,"6,0 m","1,002","6,012 Kg"
PC-010 L,"6,0 m","0,623","3,738 Kg"
PD-001,"6,0 m","0,390","2,340 Kg"
PD-004,"6,0 m","0,263","1,578 Kg"
PD-005,"6,0 m","1,488","8,928 Kg"
PD-006,"6,0 m","0,379","2,274 Kg"
"PD-006 4,6m","4,6 m","0,379","1,743 Kg"
PDV-070,"6,0 m","0,196","1,176 Kg"
PDV-080,"6,0 m","0,462","2,772 Kg"
PEL-001,"6,0 m","1,397","8,382 Kg"
PEL-001 5m,"5,0 m","1,397","6,985 Kg"
PEL-002,"6,0 m","2,944","17,664 Kg"
PEL-002 5m,"5,0 m","2,944","14,720 Kg"
PIT-001,"6,0 m","0,669","4,014 Kg"
PIT-002,"6,0 m","0,810","4,860 Kg"
PIT-003,"6,0 m","0,894","5,364 Kg"
PIT-004,"6,0 m","0,972","5,832 Kg"
PIT-005,"6,0 m","0,648","3,888 Kg"
PIT-006,"6,0 m","0,782","4,692 Kg"
PIT-007,"6,0 m","0,782","4,692 Kg"
PIT-008,"6,0 m","0,777","4,662 Kg"
PIT-009,"6,0 m","0,355","2,130 Kg"
PIT-010,"6,0 m","0,569","3,414 Kg"
PIT-011,"6,0 m","0,442","2,652 Kg"
PIT-015,"6,0 m","1,026","6,156 Kg"
PIT-016,"6,0 m","1,047","6,282 Kg"
PIT-018,"6,0 m","0,892","5,352 Kg"
PIT-100,"6,0 m","0,814","4,884 Kg"
PIT-101,"6,0 m","1,486","8,916 Kg"
PIT-177,"6,0 m","1,364","8,184 Kg"
PLG-170,"6,0 m","0,746","4,476 Kg"
PPO-003,"6,0 m","1,125","6,750 Kg"
PPO-005,"6,0 m","0,714","4,284 Kg"
PU-002,"6,0 m","0,142","0,852 Kg"
PU-004,"6,0 m","0,147","0,882 Kg"
SA-001,"6,0 m","0,282","1,692 Kg"
SA-002,"6,0 m","1,308","7,848 Kg"
SA-003,"6,0 m","0,405","2,430 Kg"
SA-004,"6,0 m","0,761","4,566 Kg"
SA-005,"6,0 m","0,328","1,968 Kg"
SA-006,"6,0 m","0,426","2,556 Kg"
SA-007,"6,0 m","1,026","6,156 Kg"
SL-002,"6,0 m","0,387","2,322 Kg"
SL-003,"6,0 m","0,428","2,568 Kg"
SL-004,"6,0 m","0,367","2,202 Kg"
SL-006,"6,0 m","0,340","2,040 Kg"
SL-008,"6,0 m","0,488","2,928 Kg"
SL-009,"6,0 m","0,413","2,478 Kg"
SL-010,"6,0 m","0,712","4,272 Kg"
SL-011,"6,0 m","0,739","4,434 Kg"
SL-012,"6,0 m","0,531","3,186 Kg"
SL-013,"6,0 m","0,332","1,992 Kg"
SL-014,"6,0 m","0,568","3,407 Kg"
SL-015,"6,0 m","0,404","2,424 Kg"
SL-017,"6,0 m","0,378","2,268 Kg"
SL-021,"6,0 m","0,350","2,100 Kg"
SL-022,"6,0 m","0,520","3,120 Kg"
SL-023,"6,0 m","0,580","3,480 Kg"
SU-001,"6,0 m","0,707","4,242 Kg"
SU-002,"6,0 m","0,654","3,924 Kg"
SU-003,"6,0 m","0,487","2,922 Kg"
SU-004,"6,0 m","0,477","2,862 Kg"
SU-005,"6,0 m","0,952","5,712 Kg"
SU-006,"6,0 m","0,881","5,286 Kg"
SU-007,"6,0 m","0,357","2,142 Kg"
SU-009,"6,0 m","0,821","4,926 Kg"
SU-010,"6,0 m","0,962","5,772 Kg"
SU-011,"6,0 m","0,884","5,304 Kg"
SU-012,"6,0 m","0,470","2,820 Kg"
SU-013,"6,0 m","0,703","4,218 Kg"
SU-014,"6,0 m","0,609","3,654 Kg"
SU-038,"6,0 m","0,527","3,162 Kg"
SU-039,"6,0 m","0,501","3,006 Kg"
SU-040,"6,0 m","0,479","2,874 Kg"
SU-041,"6,0 m","0,507","3,042 Kg"
SU-042,"6,0 m","0,561","3,366 Kg"
SU-053,"6,0 m","0,480","2,880 Kg"
SU-055,"6,0 m","0,500","3,000 Kg"
SU-056,"6,0 m","0,489","2,934 Kg"
SU-057,"6,0 m","0,588","3,528 Kg"
SU-068,"6,0 m","0,517","3,102 Kg"
